Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa Sub-Saharan,Chad,148,128,132,149,80,66,83,82,94,88,112,76,99
America Central and South,Chile,733,765,891,791,724,893,951,889,992,"1,001","1,027","1,059","1,066"
Asia East,China,"124,154","155,702","165,547","147,874","161,529","215,045","266,958","285,536","373,534","413,275","491,359","581,921","655,685"
Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Colombia,"16,952","18,192","20,165","20,720","19,551","21,233","22,135","22,920","24,590","26,741","26,689","24,518","27,155"
Africa Sub-Saharan,Comoros,51,44,28,39,42,51,69,116,196,173,215,226,294
Africa Sub-Saharan,Congo,"1,239","1,405","1,228",842,864,615,665,603,576,509,463,402,449
Africa Sub-Saharan,Congo (Democratic Republic),"5,341","4,876","4,638","3,046","2,603","1,804","1,880","1,919","2,049","2,081","1,846","2,077","2,555"
Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Costa Rica,53,63,86,82,78,79,83,89,101,130,114,138,119
EU Other,Croatia,"16,549","3,052",544,493,425,408,382,377,108,1,4,2,5
America Central and South,Cuba,"2,504","2,656","2,224","1,978","1,624","1,548","1,292","1,282","1,401","1,389","1,963","1,489","1,629"
America Central and South,Curacao,z,z,z,z,z,z,0,0,0,0,0,0,0
EU Other,Cyprus,"1,197","1,138",959,829,526,511,369,419,368,249,231,283,33
Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0,0,0,1,0,3,299
EU 8,Czech Republic,3,10,8,13,0,0,1,1,0,0,1,0,0
EU 14,Denmark,1,1,1,2,1,1,0,1,0,0,0,0,0
Africa Sub-Saharan,Djibouti,258,200,164,151,111,114,110,134,160,110,126,108,135
America Central and South,Dominica,80,115,66,64,49,47,47,49,24,36,37,41,99
America Central and South,Dominican Republic,"1,657","1,547","1,817","1,372","1,298","1,167","1,175","1,085","1,222","1,411","1,903","1,756","2,262"
Asia South East,East Timor,0,0,3,29,17,8,9,3,13,6,8,6,6
America Central and South,Ecuador,"3,686","4,215","3,884","3,205","2,961","3,111","2,613","2,854","3,007","3,390","4,237","4,094","5,113"
Africa North,Egypt,"24,867","28,885","28,923","29,021","32,072","36,184","35,270","33,999","36,061","36,116","38,225","37,557","33,424"
America Central and South,El Salvador,41,47,40,47,37,38,42,24,36,35,56,58,56
Africa Sub-Saharan,Equatorial Guinea,252,261,230,176,151,158,155,134,153,91,90,111,81
Africa Sub-Saharan,Eritrea,"1,419","1,462","1,450","1,265","1,289","1,392","1,124","1,032","1,084",978,985,"1,474","1,797"
EU 8,Estonia,7,7,16,3,0,0,0,2,0,2,0,1,0
Africa Sub-Saharan,Ethiopia,"4,924","3,814","3,957","3,911","3,415","3,441","2,903","3,123","2,939","2,682","3,106","2,433","3,211"
Other,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0
Europe Other,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Fiji,"1,297","1,089","1,253","1,388","1,181","1,067","1,018",922,"1,396",743,"1,046","1,071","1,091"
EU 14,Finland,0,1,3,3,0,0,0,0,1,0,0,0,2
Europe Other,Former Yugoslavia,z,z,"18,029","16,764","6,104",872,233,15,2,2,0,0,1
EU 14,France,2,3,5,4,2,1,0,0,1,0,1,0,9
America Central and South,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Sub-Saharan,Gabon,454,503,505,371,290,272,306,384,331,288,298,237,326
Africa Sub-Saharan,"Gambia, The","5,230","4,689","4,214","3,903","3,032","3,352","2,445","2,074","1,977","1,779","1,679","1,484","1,451"
Europe Other,Georgia,"3,615","4,238","4,675","4,778","4,585","4,519","4,680","4,844","4,848","4,860","4,748","4,390","4,785"
EU 14,Germany,4,9,3,7,2,4,5,1,3,0,2,3,2
Africa Sub-Saharan,Ghana,"30,396","27,537","23,743","20,628","18,857","21,080","23,577","24,186","21,010","18,534","18,876","17,425","18,273"
Other,Gibraltar (British),0,0,0,0,0,0,0,0,0,0,0,0,0
EU 14,Greece,0,0,3,0,1,1,0,0,0,0,0,0,0
Europe Other,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Grenada,136,132,118,114,89,76,83,76,65,44,64,54,73
America Central and South,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Guatemala,70,67,75,90,55,66,41,26,39,53,46,59,68
Africa Sub-Saharan,Guinea,"1,385","1,350",883,816,718,723,604,560,511,462,479,535,536
